spkid,pdes,full_name,neo,pha,class,moid,e,a,q,i,per,H,diameter,albedo,condition_code,data_arc,n_obs_used
20154589,154589,154589 (2003 MX2),Y,N,AMO,.261977,.4592330912020538,2.288719757084662,1.237663908143459,7.182683579210775,1264.69952314133,16.62,1.109,0.395,0,9195,1608
20154590,154590,154590 (2003 MA3),Y,Y,APO,.0131205,.4021483663128078,1.105145009435072,.660712749352005,1.415997763861056,424.3530492008253,21.70,0.086,0.530,0,9980,123
20154631,154631,154631 (2003 WO25),Y,N,APO,.202531,.4915313235219199,1.55742995825536,.7919043495814144,15.89898462974909,709.9229458057094,18.21,,,0,9105,235
20154652,154652,154652 (2004 EP20),Y,N,APO,.235733,.4505165231196061,1.058458705619435,.5816055696980887,16.17629082194853,397.749191701169,18.92,,,0,5817,722
20154656,154656,154656 (2004 FE3),Y,N,APO,.152744,.646726004483769,2.311141732486343,.8164662740397545,22.94571607049031,1283.329851403934,16.36,,,0,7996,627
20154658,154658,154658 (2004 FA18),Y,N,APO,.153689,.4547699070339333,1.096620475835189,.5979104839881123,19.28447919647696,419.4526600073074,19.42,,,0,9107,209
20154715,154715,154715 (2004 LB6),Y,N,APO,.0580799,.4906913021185514,1.618436038395174,.824283551319456,4.099367466450919,752.0413798650616,18.54,,,0,8508,642
20154807,154807,154807 (2004 PP97),Y,N,APO,.14621,.3165482398705891,1.483885291954002,1.014164014616108,15.52570074120498,660.2355761458563,18.56,0.469,0.319,0,17413,1407
20154988,154988,154988 (2004 XN35),Y,N,APO,.15243,.6803075391048092,1.505454264186729,.4812823784830139,9.820771997874264,674.6830135611983,18.39,,,0,9509,396
20154991,154991,154991 Vinciguerra (2005 BX26),Y,N,AMO,.195348,.3227672033919257,1.704693734913802,1.154474505455938,5.634223456109251,812.9577478386067,18.57,,,0,13935,443
20154993,154993,154993 (2005 EA94),Y,N,APO,.0750049,.663601201329369,1.516534126154638,.5101602581814354,10.32476615194417,682.1450126323055,17.99,0.828,0.195,0,8727,559
20155110,155110,155110 (2005 TB),Y,N,APO,.111179,.3484801620374774,1.261420031968717,.8218401748309384,30.37986499738863,517.4733782592474,17.46,0.683,0.379,0,15052,1420
20155140,155140,155140 (2005 UD),Y,N,APO,.0765826,.8724332633437413,1.274737273096451,.1626140740230123,28.61185107043867,525.6896831380723,17.47,,,0,15384,795
20155334,155334,155334 (2006 DZ169),Y,N,AMO,.223579,.4095204648288427,2.03397945936527,1.201023245713686,6.614044968276619,1059.54223011406,17.24,,,0,15493,1097
20155336,155336,155336 (2006 GA1),Y,N,APO,.0721374,.7374275018240344,2.12073930812659,.5568478181147675,4.191824741660771,1128.05261362317,18.41,,,0,8354,148
20155338,155338,155338 (2006 MZ1),Y,Y,APO,.0130148,.4824665716721262,1.569369255009638,.8122010508574994,2.081571422839404,718.10200154938,20.40,,,0,1700,134
20155340,155340,155340 (2006 SK198),Y,N,AMO,.11437,.4651925226388509,2.109105284927529,1.127965276921159,9.227958142396288,1118.782892208085,16.29,,,0,8798,1113
20155341,155341,155341 (2006 SA218),Y,N,AMO,.285867,.2414023304081675,1.477467906541566,1.120803710799155,18.52257888045907,655.9572111722227,18.23,,,0,16555,1327
20159399,159399,159399 (1998 UL1),Y,N,AMO,.195909,.2139413464688046,1.526925709165918,1.200253166989127,41.96796802514213,689.1682925155337,16.50,,,0,10215,2496
20159402,159402,159402 (1999 AP10),Y,N,AMO,.0764065,.5717120863686029,2.379787898708209,1.019234394022985,7.571410797265652,1340.929065718333,16.61,,,0,9979,2112
20159454,159454,159454 (2000 DJ8),Y,N,AMO,.246479,.2526751233020658,1.411129770548863,1.054572381780213,37.75025710692071,612.2782866692919,18.04,0.577,0.367,0,9180,912
20159459,159459,159459 (2000 KB),Y,N,APO,.531488,.7988920111945179,2.336218599607339,.4698322239769918,56.16551073509531,1304.273416611445,16.30,1.769,0.187,0,9453,450
20159467,159467,159467 (2000 QK25),Y,N,AMO,.314641,.2828302150243363,1.809233320460308,1.297527471405325,6.138342977987806,888.8741843409641,18.33,,,0,9388,714
20159495,159495,159495 (2000 UV16),Y,N,AMO,.206028,.4823147654323759,2.350123476998529,1.216624223452863,4.062964695826302,1315.935031245503,17.46,,,0,13348,421
20159504,159504,159504 (2000 WO67),Y,Y,APO,.0495539,.6170325707768451,2.433707676386756,.9320307723064934,9.689788408394108,1386.759165068617,16.96,2.324,0.052,0,9302,756
20159518,159518,159518 (2001 FF7),Y,N,AMO,.340703,.445231769298609,2.104317094395563,1.167408271292519,47.47172548676156,1114.975184640677,18.01,1.784,0.038,0,8771,281
20159533,159533,159533 (2001 HH31),Y,N,AMO,.29054,.2890968680416264,1.654341024472505,1.176076215624728,12.85051451967088,777.205716373286,17.66,,,0,10372,900
20159555,159555,159555 (2001 SJ276),Y,N,AMO,.349945,.2300185378519847,1.630358645538658,1.255345933717514,29.43811144731824,760.3668125033213,18.69,,,0,9005,214
20159560,159560,159560 (2001 TO103),Y,N,AMO,.472877,.4351554263084718,2.213588194791615,1.250333280215669,25.69495238571033,1202.939184749288,17.14,1.156,0.209,0,8891,667
20159608,159608,159608 (2002 AC2),Y,N,AMO,.101443,.3519619899193582,1.674121467530697,1.084894344451876,58.87943156514303,791.186512338882,16.59,,,0,8767,681
20159609,159609,159609 (2002 AQ3),Y,N,AMO,.313846,.4624736058338377,2.111653249296507,1.135069356823611,40.00854192739224,1120.810870424118,17.23,,,0,8575,468
20159635,159635,159635 (2002 CZ46),Y,N,AMO,.261316,.3241979650378097,1.703368575131937,1.15113994936481,16.23879267681193,812.0099915051875,18.16,,,0,8555,731
20159677,159677,159677 (2002 HQ11),Y,N,APO,.0558072,.5951080467632222,1.851106473279154,.7494981156152398,6.065863372184227,919.9103944796913,19.45,,,0,9060,153
20159686,159686,159686 (2002 LB6),Y,N,APO,.283072,.6879173785747035,1.803865158839148,.5629549674682803,24.72865250378345,884.9210631344303,16.34,1.845,0.162,0,10612,934
20159699,159699,159699 (2002 PQ142),Y,N,APO,.215275,.7159520359038682,1.696858516292314,.4819892069120147,16.81469578123993,807.3593432101442,17.60,,,0,8767,425
20159856,159856,159856 (2004 JW6),Y,N,AMO,.137857,.4658132112098775,2.154309378935079,1.150803609193773,9.7557760884076,1154.942957874401,17.98,,,0,15983,567
20159857,159857,159857 (2004 LJ1),Y,Y,APO,.0148973,.5935571636815873,2.262045735694703,.9193922846977255,23.15182986183645,1242.654792857049,15.46,3.070,0.130,0,11390,3315
20159923,159923,159923 (2004 YJ32),Y,N,AMO,.219307,.5250677624527785,2.521003401874427,1.197305786516379,7.527639565468096,1462.037710090239,16.45,,,0,10661,462
20159928,159928,159928 (2005 CV69),Y,N,APO,.218787,.4192059762198785,1.654507186592971,.96092788627446,27.75499422903957,777.32281320278,18.00,,,0,13852,1251
20159929,159929,159929 (2005 UK),Y,N,AMO,.127228,.4078238243897751,1.886579257030326,1.117187289413798,54.41948237152094,946.4790587396933,17.72,2.620,0.026,0,18100,367
20161989,161989,161989 Cacus (1978 CA),Y,Y,APO,.0146207,.2138661445274499,1.122678570459829,.8825756330519963,26.06566728817256,434.4917917351522,17.31,1.9,0.09,0,16425,1798
20161995,161995,161995 (1983 LB),Y,N,AMO,.248848,.4781279913192075,2.289059835342266,1.194596254260593,25.24135095513967,1264.981414001097,17.27,,,0,15537,483
20161998,161998,161998 (1988 PA),Y,N,AMO,.27826,.4062960128066093,2.146789631811011,1.274557564071628,8.227390653469712,1148.901140564738,17.59,,,0,13915,503
20161999,161999,161999 (1989 RC),Y,N,AMO,.113491,.513578609270568,2.316879079890739,1.12697954419238,7.394231858832979,1288.111563894138,18.80,0.458,0.211,0,12719,156
20162000,162000,162000 (1990 OS),Y,Y,APO,.00898381,.4625402833829411,1.678165401050509,.9019463008851596,1.091380571016106,794.0549753702985,19.64,0.4,,0,13001,427
